ID,NAME,AGE
1,Fiona,78
2,Hannah,80
3,Hannah,32
4,Charlie,51
5,Julia,48
6,David,61
7,Ian,37
8,Hannah,35
9,Alice,42
10,Fiona,35
11,Alice,20
12,Bob,74
13,Bob,47
14,Alice,49
15,Julia,27
16,Fiona,53
17,Julia,74
18,George,52
19,Julia,20
20,Fiona,20
21,Bob,24
22,George,78
23,Hannah,33
24,Ian,45
25,Bob,61
26,Bob,52
27,Julia,28
28,Emma,67
29,George,50
30,Ian,36
31,George,26
32,Emma,39
33,Ian,39
34,Fiona,73
35,Bob,57
36,Alice,31
37,Bob,34
38,Charlie,35
39,Hannah,49
40,Alice,69
41,George,54
42,Bob,60
43,Charlie,76
44,Alice,53
45,Alice,51
46,Charlie,76
47,Hannah,78
48,Hannah,62
49,George,39
50,David,58
51,Fiona,32
52,Alice,61
53,Alice,58
54,Julia,62
55,Charlie,78
56,George,64
57,Ian,74
58,Alice,77
59,Julia,46
60,George,67
61,Julia,57
62,Ian,76
63,George,29
64,Alice,20
65,Alice,53
66,Bob,60
67,Alice,79
68,Charlie,24
69,Ian,54
70,Alice,65
71,Ian,50
72,Julia,36
73,David,18
74,Bob,70
75,Ian,67
76,Emma,70
77,Charlie,78
78,Bob,33
79,David,73
80,Julia,52
81,George,71
82,Charlie,74
83,George,55
84,Ian,35
85,Charlie,73
86,George,42
87,Emma,47
88,Ian,73
89,Ian,70
90,Julia,62
91,Fiona,54
92,Ian,64
93,Julia,65
94,Bob,75
95,Hannah,39
96,Alice,44
97,Bob,55
98,Alice,43
99,Julia,38
100,Emma,40
101,Charlie,20
102,Emma,39
103,Alice,63
104,Hannah,41
105,Emma,39
106,Hannah,79
107,Charlie,40
108,David,65
109,David,70
110,Charlie,21
111,Julia,45
112,George,65
113,David,30
114,Julia,22
115,Alice,27
116,Alice,32
117,Charlie,60
118,Alice,44
119,Charlie,36
120,Julia,70
121,Bob,45
122,Emma,26
123,Emma,41
124,David,52
125,George,22
126,David,71
127,Bob,43
128,George,21
129,Fiona,58
130,Charlie,29
131,George,74
132,George,29
133,Bob,23
134,George,37
135,Charlie,56
136,Bob,55
137,Alice,67
138,David,78
139,Bob,32
140,Emma,66
141,Hannah,42
142,David,58
143,Hannah,37
144,Bob,35
145,Alice,70
146,George,22
147,Julia,64
148,Julia,60
149,Emma,79
150,Julia,66
151,Alice,38
152,Bob,47
153,Bob,53
